"value","value href","value 2","value href 2","value 3","value 4","value 5","value 6","value 7","greyText","value 8","value 9","value 10","value 11","staticStar","value 12","value href 3","value 13","value href 4","value 14","greyText 4","greyText 5","value 15","value 16","date_read_value","darkGreyText","value href 5","value src"
"The Capture","https://www.goodreads.com/book/show/35805.The_Capture","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439405572","9780439405577","0439405572","222","pp","3.94","30,811","Jun 01, 2003","Jun 01, 2003","","0","https://www.goodreads.com/review/show/7210277373","0","https://www.goodreads.com/rating/voters/7210277373?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #1)","https://www.goodreads.com/book/show/35805.The_Capture","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388460181l/35805._SX50_.jpg"
"Star Wolf","https://www.goodreads.com/book/show/15804098-star-wolf","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0545279623","9780545279628","0545279623","256","pp","4.37","3,065","Jan 01, 2013","Jan 01, 2013","","0","https://www.goodreads.com/review/show/7210275210","0","https://www.goodreads.com/rating/voters/7210275210?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2013","(Wolves of the Beyond, #6)","https://www.goodreads.com/book/show/15804098-star-wolf","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358266260l/15804098._SY75_.jpg"
"Spirit Wolf","https://www.goodreads.com/book/show/12794678-spirit-wolf","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0545279615","9780545279611","0545279615","240","pp","4.33","3,385","May 01, 2012","May 01, 2012","","0","https://www.goodreads.com/review/show/7210274544","0","https://www.goodreads.com/rating/voters/7210274544?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2013","(Wolves of the Beyond, #5)","https://www.goodreads.com/book/show/12794678-spirit-wolf","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337242500l/12794678._SY75_.jpg"
"Frost Wolf","https://www.goodreads.com/book/show/11407130-frost-wolf","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0545093163","9780545093163","0545093163","240","pp","4.31","4,206","Dec 2011","Dec 01, 2011","","0","https://www.goodreads.com/review/show/7210273748","0","https://www.goodreads.com/rating/voters/7210273748?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2012","(Wolves of the Beyond, #4)","https://www.goodreads.com/book/show/11407130-frost-wolf","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328838830l/11407130._SY75_.jpg"
"Watch Wolf","https://www.goodreads.com/book/show/9464737-watch-wolf","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","","","","240","pp","4.32","5,694","2011","Jun 01, 2011","","0","https://www.goodreads.com/review/show/7210272914","0","https://www.goodreads.com/rating/voters/7210272914?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2012","(Wolves of the Beyond, #3)","https://www.goodreads.com/book/show/9464737-watch-wolf","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333259865l/9464737._SY75_.jpg"
"Shadow Wolf","https://www.goodreads.com/book/show/7882806-shadow-wolf","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0545093120","9780545093125","0545093120","272","pp","4.29","6,572","Oct 01, 2010","Oct 01, 2010","","0","https://www.goodreads.com/review/show/7210269352","0","https://www.goodreads.com/rating/voters/7210269352?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2012","(Wolves of the Beyond, #2)","https://www.goodreads.com/book/show/7882806-shadow-wolf","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388909755l/7882806._SX50_.jpg"
"Lone Wolf","https://www.goodreads.com/book/show/6838961-lone-wolf","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0545093104","9780545093101","0545093104","240","pp","4.18","12,176","Jul 01, 2010","Jan 01, 2010","","0","https://www.goodreads.com/review/show/7210267923","0","https://www.goodreads.com/rating/voters/7210267923?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2012","(Wolves of the Beyond, #1)","https://www.goodreads.com/book/show/6838961-lone-wolf","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328838824l/6838961._SX50_.jpg"
"Pandora the Curious","https://www.goodreads.com/book/show/13547083-pandora-the-curious","Holub, Joan","https://www.goodreads.com/author/show/18967.Joan_Holub","*","1442459751","9781442459755","1442459751","256","pp","4.23","2,386","Dec 04, 2012","Dec 04, 2012","","0","https://www.goodreads.com/review/show/7210259883","0","https://www.goodreads.com/rating/voters/7210259883?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2013","(Goddess Girls, #9)","https://www.goodreads.com/book/show/13547083-pandora-the-curious","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339717442l/13547083._SX50_.jpg"
"Medusa the Mean","https://www.goodreads.com/book/show/12052534-medusa-the-mean","Holub, Joan","https://www.goodreads.com/author/show/18967.Joan_Holub","*","1442433795","9781442433793","1442433795","256","pp","4.26","2,865","Apr 03, 2012","Apr 03, 2012","","0","https://www.goodreads.com/review/show/7210259058","0","https://www.goodreads.com/rating/voters/7210259058?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2013","(Goddess Girls, #8)","https://www.goodreads.com/book/show/12052534-medusa-the-mean","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319469118l/12052534._SY75_.jpg"
"Artemis the Loyal","https://www.goodreads.com/book/show/11175319-artemis-the-loyal","Holub, Joan","https://www.goodreads.com/author/show/18967.Joan_Holub","*","1442433779","9781442433779","1442433779","272","pp","4.27","2,851","Dec 06, 2011","Dec 06, 2011","","0","https://www.goodreads.com/review/show/7210258442","0","https://www.goodreads.com/rating/voters/7210258442?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2012","(Goddess Girls, #7)","https://www.goodreads.com/book/show/11175319-artemis-the-loyal","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319469943l/11175319._SX50_.jpg"
"Aphrodite the Diva","https://www.goodreads.com/book/show/9764206-aphrodite-the-diva","Holub, Joan","https://www.goodreads.com/author/show/18967.Joan_Holub","*","1442421002","9781442421004","1442421002","277","pp","4.27","3,285","Aug 09, 2011","Aug 09, 2011","","0","https://www.goodreads.com/review/show/7210257638","0","https://www.goodreads.com/rating/voters/7210257638?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2012","(Goddess Girls, #6)","https://www.goodreads.com/book/show/9764206-aphrodite-the-diva","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319469874l/9764206._SX50_.jpg"
"Athena the Wise","https://www.goodreads.com/book/show/9296389-athena-the-wise","Holub, Joan","https://www.goodreads.com/author/show/18967.Joan_Holub","*","1442420979","9781442420977","1442420979","246","pp","4.29","3,760","Apr 05, 2011","Apr 05, 2011","","0","https://www.goodreads.com/review/show/7210257094","0","https://www.goodreads.com/rating/voters/7210257094?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2012","(Goddess Girls, #5)","https://www.goodreads.com/book/show/9296389-athena-the-wise","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388438317l/9296389._SX50_.jpg"
"Artemis the Brave","https://www.goodreads.com/book/show/7775569-artemis-the-brave","Holub, Joan","https://www.goodreads.com/author/show/18967.Joan_Holub","*","1416982744","9781416982746","1416982744","240","pp","4.15","4,164","Dec 07, 2010","Dec 07, 2010","","0","https://www.goodreads.com/review/show/7210255967","0","https://www.goodreads.com/rating/voters/7210255967?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2012","(Goddess Girls, #4)","https://www.goodreads.com/book/show/7775569-artemis-the-brave","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388438306l/7775569._SX50_.jpg"
"Aphrodite the Beauty","https://www.goodreads.com/book/show/7199828-aphrodite-the-beauty","Holub, Joan","https://www.goodreads.com/author/show/18967.Joan_Holub","*","1416982736","9781416982739","1416982736","176","pp","4.15","5,126","Jul 16, 2010","Aug 03, 2010","","0","https://www.goodreads.com/review/show/7210255420","0","https://www.goodreads.com/rating/voters/7210255420?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2012","(Goddess Girls, #3)","https://www.goodreads.com/book/show/7199828-aphrodite-the-beauty","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387611493l/7199828._SX50_.jpg"
"Persephone the Phony","https://www.goodreads.com/book/show/7199829-persephone-the-phony","Holub, Joan","https://www.goodreads.com/author/show/18967.Joan_Holub","*","1416982728","9781416982722","1416982728","137","pp","4.17","5,126","Mar 25, 2010","Apr 06, 2010","","0","https://www.goodreads.com/review/show/7210254748","0","https://www.goodreads.com/rating/voters/7210254748?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2012","(Goddess Girls, #2)","https://www.goodreads.com/book/show/7199829-persephone-the-phony","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388382450l/7199829._SX50_.jpg"
"Athena the Brain","https://www.goodreads.com/book/show/6788767-athena-the-brain","Holub, Joan","https://www.goodreads.com/author/show/18967.Joan_Holub","*","","","B0FSKS8QXV","160","pp","4.08","8,725","Jan 01, 2010","Apr 06, 2010","","0","https://www.goodreads.com/review/show/7210253856","0","https://www.goodreads.com/rating/voters/7210253856?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2012","(Goddess Girls, #1)","https://www.goodreads.com/book/show/6788767-athena-the-brain","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388195336l/6788767._SX50_.jpg"
"Among the Barons","https://www.goodreads.com/book/show/298730.Among_the_Barons","Haddix, Margaret Peterson","https://www.goodreads.com/author/show/14617.Margaret_Peterson_Haddix","","0689839103","9780689839108","0689839103","208","pp","4.09","25,089","Jun 01, 2003","Sep 01, 2004","","0","https://www.goodreads.com/review/show/7210252247","0","https://www.goodreads.com/rating/voters/7210252247?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2013","(Shadow Children, #4)","https://www.goodreads.com/book/show/298730.Among_the_Barons","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388178243l/298730._SX50_.jpg"
"Among the Betrayed","https://www.goodreads.com/book/show/303460.Among_the_Betrayed","Haddix, Margaret Peterson","https://www.goodreads.com/author/show/14617.Margaret_Peterson_Haddix","","0689839057","9780689839054","0689839057","160","pp","4.05","29,186","Jun 01, 2002","Jun 01, 2002","","0","https://www.goodreads.com/review/show/7210251755","0","https://www.goodreads.com/rating/voters/7210251755?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2013","(Shadow Children, #3)","https://www.goodreads.com/book/show/303460.Among_the_Betrayed","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348963304l/303460._SY75_.jpg"
"Among the Impostors","https://www.goodreads.com/book/show/303472.Among_the_Impostors","Haddix, Margaret Peterson","https://www.goodreads.com/author/show/14617.Margaret_Peterson_Haddix","","0689839081","9780689839085","0689839081","172","pp","4.06","34,324","Jun 01, 2001","Oct 01, 2002","","0","https://www.goodreads.com/review/show/7210250588","0","https://www.goodreads.com/rating/voters/7210250588?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2013","(Shadow Children, #2)","https://www.goodreads.com/book/show/303472.Among_the_Impostors","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388431983l/303472._SX50_.jpg"
"Among the Hidden","https://www.goodreads.com/book/show/227651.Among_the_Hidden","Haddix, Margaret Peterson","https://www.goodreads.com/author/show/14617.Margaret_Peterson_Haddix","","1416924981","9781416924982","1416924981","153","pp","3.99","133,381","Sep 01, 1998","Jun 06, 2006","","0","https://www.goodreads.com/review/show/7210249423","0","https://www.goodreads.com/rating/voters/7210249423?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2013","(Shadow Children, #1)","https://www.goodreads.com/book/show/227651.Among_the_Hidden","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388382796l/227651._SX50_.jpg"
"Into the Gauntlet","https://www.goodreads.com/book/show/7182899-into-the-gauntlet","Haddix, Margaret Peterson","https://www.goodreads.com/author/show/14617.Margaret_Peterson_Haddix","","0545060508","9780545060509","0545060508","327","pp","3.98","62,199","Aug 31, 2010","Aug 31, 2010","","0","https://www.goodreads.com/review/show/7210247540","0","https://www.goodreads.com/rating/voters/7210247540?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2013","(The 39 Clues, #10)","https://www.goodreads.com/book/show/7182899-into-the-gauntlet","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357211070l/7182899._SX50_.jpg"
"Storm Warning","https://www.goodreads.com/book/show/6697305-storm-warning","Park, Linda Sue","https://www.goodreads.com/author/show/61707.Linda_Sue_Park","","0545060494","9780545060493","0545060494","190","pp","4.01","48,153","May 25, 2010","May 25, 2010","","0","https://www.goodreads.com/review/show/7210246860","0","https://www.goodreads.com/rating/voters/7210246860?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2013","(The 39 Clues, #9)","https://www.goodreads.com/book/show/6697305-storm-warning","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357211087l/6697305._SX50_.jpg"
"The Emperor's Code","https://www.goodreads.com/book/show/6545536-the-emperor-s-code","Korman, Gordon","https://www.goodreads.com/author/show/2130.Gordon_Korman","","0545060486","9780545060486","0545060486","190","pp","4.05","44,826","Apr 06, 2010","Apr 06, 2010","","0","https://www.goodreads.com/review/show/7210246323","0","https://www.goodreads.com/rating/voters/7210246323?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2013","(The 39 Clues, #8)","https://www.goodreads.com/book/show/6545536-the-emperor-s-code","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357211054l/6545536._SX50_.jpg"
